Type,Metabolite,CHEBI,Protein,Stoichiometry,Isozyme
Symport,proline/Na,60039/29101,SAPIG1996,1,
Symport,proline/Na,60039/29101,SAPIG2120,1,
Symport,proline/H,60039/15378,,1,
Symport,acetate/Na,30089/29101,,1,
Symport,Na/Pi,29101/43474,SAPIG0118,1,
Symport,alanine/Na,57972/29101,SAPIG1008,1,
Symport,alanine/Na,57972/29101,SAPIG1358,1,
Symport,alanine/H,57972/15378,,1,
Symport,tyrosine/H,58315/15378,,1,
Symport,tryptophan/H,57912/15378,,1,
Symport,serine/H,33384/15378,,1,
Symport,serine/Na,33384/29101,,1,
Symport,histidine,57595/15378,,1,
Symport,glycine/Na,57305/29101,,1,
Symport,glutamate/Na,29985/29101,,1,
Symport,gluconate/H,18391/15378,,1,
Symport,nitrite/H,16301/15378,,1,
Symport,glycerol-3-phosphate/H,57597/15378,,1,
Symport,H/alpha-ketoglutarate,15378/16810,,1,
Symport,r-lactate/H,16004/15378,,1,
Symport,choline/H,15354/15378,,1,
Symport,glycine-betaine/H,17750/15378,,1,
Symport,phosphate/H,43474/15378,,1,
Symport,glutamate/H,29985/15378,SAPIG0461,1,
Symport,glutamate/H,29985/15378,SAPIG2437,1,
Symport,glutamate/Na,29985/29101,SAPIG0461,1,
Symport,glutamate/Na,29985/29101,SAPIG2437,1,
Symport,glutamate/Na,29985/29101,SAPIG2397,1,
Symport,threonine/Na,57926/29101,,1,
Symport,leucine/H,57427/15378,,1,
Symport,isoleucine/H,58045/15378,,1,
Symport,valine/H,57762/15378,,1,
Symport,leucine/Na,57427/29101,,1,
Symport,isoleucine/Na,58045/29101,,1,
Symport,valine/Na,57762/29101,,1,
Symport,cytosine/H,16040/15378,,1,
Symport,uracil/H,17568/15378,,1,
Symport,xanthine/H,17712/15378,,1,
Symport,guanine/H,16235/15378,,1,
Symport,adenine/H,16708/15378,,1,
Symport,r-allantoin/H,15677/15378,,1,
Symport,s-allantoin/H,15678/15378,,1,
Symport,uracil/Na,17568/29101,,1,
Symport,xanthine/Na,17712/29101,,1,
Symport,guanine/Na,16235/29101,,1,
Symport,adenine/Na,16708/29101,,1,
Symport,sulfate/Na,16189/29101,SAPIG0768,1,
Symport,sulfate/Na,16189/29101,SAPIG2011,1,
Symport,sulfate/Na,16189/29101,SAPIG2741,1,
Symport,asparate/Na,29991/29101,SAPIG0461,1,
Symport,asparate/Na,29991/29101,SAPIG2437,1,
Symport,malate/Na,15589/29101,,1,
Symport,fumarate/Na,29806/29101,,1,
Symport,succinate/Na,30031/29101,,1,
Symport,sulfate/H,16189/15378,,1,
Symport,acetate/H,30089/15378,,1,
Symport,asparate/H,29991/15378,SAPIG0461,1,
Symport,asparate/H,29991/15378,SAPIG2437,1,
Symport,malate/H,15589/15378,,1,
Symport,fumarate/H,29806/15378,,1,
Symport,succinate/H,30031/15378,,1,
Symport,malonate/Na,15792/29101,,1,
Symport,citrate/H,16947/15378,SAPIG2665,1,
Symport,aconitate/H,16383/15378,,1,
Symport,D-threo-isocitrate/H,15562/15378,,1,
Symport,cysteine/H,35235/15378,,1,
Symport,phenylalanine/H,58095/15378,,1,
Symport,glycine/H,57305/15378,,1,
Symport,lysine/H,32551/15378,,1,
Symport,methionine/H,57844/15378,,1,
Symport,histidine/H,57595/15378,,1,
Symport,asparagine/H,58048/15378,,1,
Symport,arginine/H,32682/15378,g1,1,
Symport,threonine/H,57926/15378,,1,
Symport,glutamine/H,58359/15378,,1,
ABC,iron(III),29034,SAPIG0124,1,
ABC,iron(III),29034,SAPIG0125,1,
ABC,iron(III),29034,SAPIG0691,1,
ABC,iron(III),29034,SAPIG0726,1,
ABC,iron(III),29034,SAPIG0727,1,
ABC,iron(III),29034,SAPIG1130,1,
ABC,iron(III),29034,SAPIG2235,1,
ABC,iron(III),29034,SAPIG2236,1,
PTS,n-acetyl-glucosamine,506227,SAPIG0207,1,
PTS,n-acetyl-glucosamine,506227,SAPIG0210,1,
PTS,n-acetyl-glucosamine,506227,SAPIG0254,1,
PTS,n-acetyl-glucosamine,506227,SAPIG0540,1,
