RHEA_ID,Protein,Stoichiometry,Isozyme,EC,KEGG_ID
RHEA:19353,SAPIG0290,1,0,3.5.1.24,R05835
RHEA:18997,SAPIG0720,1,0,2.7.7.15,R01890
RHEA:28807,SAPIG0219,1,0,3.4.19.13,R00494
RHEA:59468,SAPIG0219,1,0,3.4.19.13,R03916
RHEA:42920,SAPIG1643,1,0,2.1.1.193,R
RHEA:10684,SAPIG2157,1,0,3.1.3.48,R02585
RHEA:10684,SAPIG0165,1,0,3.1.3.48,R02585
RHEA:10684,SAPIG2714,1,0,3.1.3.48,R02585
RHEA:10684,SAPIG1974,1,0,3.1.3.48,R02585
RHEA:24080,SAPIG0992,1,0,6.1.1.2,R03664
RHEA:17989,SAPIG2106,1,0,2.7.11.1,R00162
RHEA:17989,SAPIG1219,1,0,2.7.11.1,R00162
RHEA:46608,SAPIG2106,1,0,2.7.11.1,R00162
RHEA:46608,SAPIG1219,1,0,2.7.11.1,R00162
RHEA:15773,SAPIG0728,1,0,2.7.1.29,R01011
RHEA:20345,SAPIG1478,1,0,1.8.1.9,R02016
RHEA:20345,SAPIG0840,1,0,1.8.1.9,R02016
RHEA:23548,SAPIG1120,1,0,2.1.1.171 2.1.1.172,R07234
RHEA:23548,SAPIG0616,1,0,2.1.1.171 2.1.1.172,R07234
RHEA:11716,SAPIG2071,1,0,3.5.1.3,R03804
RHEA:12432,SAPIG2314,1,0,2.3.2.10,R04613
RHEA:43160,SAPIG0553,1,0,2.1.1.223,R
RHEA:20736,SAPIG0625,1,0,2.3.1.29,R00371
RHEA:20736,SAPIG2477,1,0,2.3.1.29,R00371
RHEA:13753,SAPIG0538,1,0,1.4.1.14,R00093
RHEA:13753,SAPIG0537,1,0,1.4.1.14,R00093
RHEA:21852,SAPIG0119,1,0,4.2.1.53,R02813
RHEA:32223,SAPIG0007,1,0,4.2.1.136,R10267
RHEA:32235,SAPIG0007,1,0,4.2.1.136,R10268
RHEA:28090,SAPIG0823,1,0,2.7.8.33,R08856
RHEA:19253,SAPIG2059,1,0,3.1.4.12,R02541
RHEA:24000,SAPIG2597,1,0,2.1.1.63,R04314
RHEA:53428,SAPIG2597,1,0,2.1.1.63,R
RHEA:27774,SAPIG1469,1,0,2.1.1.201,R
RHEA:28286,SAPIG1469,1,0,2.1.1.201,R09737
RHEA:44752,SAPIG1469,1,0,2.1.1.201,R04990
RHEA:44756,SAPIG1469,1,0,2.1.1.201,R
RHEA:44760,SAPIG1469,1,0,2.1.1.201,R
RHEA:44764,SAPIG1469,1,0,2.1.1.201,R
RHEA:16413,SAPIG0663,1,0,2.3.1.200,R
RHEA:10220,SAPIG1781,1,0,6.1.1.1,R02918
RHEA:15325,SAPIG1228,1,0,2.3.1.15,R00851
RHEA:15325,SAPIG1355,1,0,2.3.1.15,R00851
RHEA:52324,SAPIG2009,1,0,1.14.14.47,R11711
RHEA:22408,SAPIG1587,1,0,2.5.1.1,R01658
RHEA:23252,SAPIG0809,1,0,1.17.4.1,R04294
RHEA:23252,SAPIG0808,1,0,1.17.4.1,R04294
RHEA:49612,SAPIG1776,1,0,1.1.1.399,R11337
RHEA:12597,SAPIG2579,1,0,2.3.1.183,R08938
RHEA:30059,SAPIG2639,1,0,1.3.98.1,R01867
RHEA:15845,SAPIG0640,1,0,2.4.1.52,R04041
RHEA:15845,SAPIG0638,1,0,2.4.1.52,R04041
RHEA:43088,SAPIG1921,1,0,2.1.1.207,R
RHEA:39027,SAPIG1013,1,0,2.4.1.315,R10807
RHEA:46020,SAPIG1628,1,0,2.7.11.33,R
RHEA:16925,SAPIG1678,1,0,2.1.1.104,R01942
RHEA:49240,SAPIG1778,1,0,2.7.1.193,R05199
RHEA:34071,SAPIG0823,1,0,2.7.8.35,R10137
RHEA:35655,SAPIG2218,1,0,2.7.7.85,R10342
RHEA:50880,SAPIG0267,1,0,2.7.8.45,R11612
RHEA:11224,SAPIG2124,1,0,6.3.2.4,R01150
RHEA:39975,SAPIG0563,1,0,3.5.99.10,R11098
RHEA:40671,SAPIG0563,1,0,3.5.99.10,R11099
RHEA:23344,SAPIG2334,1,0,3.2.2.1,R02341
RHEA:23344,SAPIG0255,1,0,3.2.2.1,R02341
RHEA:19669,SAPIG1237,1,0,3.6.5.4,R00335
RHEA:44668,SAPIG0270,1,0,2.7.8.47,R11614
RHEA:44668,SAPIG0265,1,0,2.7.8.47,R11614
RHEA:42436,SAPIG0412,1,0,2.7.1.194,R07671
RHEA:42436,SAPIG0411,1,0,2.7.1.194,R07671
RHEA:34475,SAPIG2613,1,0,2.5.1.32,R10177
RHEA:15197,SAPIG0499,1,0,2.1.1.72,R02961
RHEA:15197,SAPIG1765,1,0,2.1.1.72,R02961
RHEA:47844,SAPIG2136,1,0,2.5.1.3,R11312
RHEA:47844,SAPIG2134,1,0,2.5.1.3,R11312
RHEA:11192,SAPIG1172,1,0,3.8.1.2,R03830
RHEA:23112,SAPIG0201,1,0,4.1.1.52,R03567
RHEA:23112,SAPIG0096,1,0,4.1.1.52,R03567
RHEA:16269,SAPIG0635,1,0,1.7.1.6,R05711
RHEA:49248,SAPIG0258,1,0,2.7.1.200,R05570
RHEA:49248,SAPIG0257,1,0,2.7.1.200,R05570
RHEA:19925,SAPIG0264,1,0,1.1.1.137,R01524
RHEA:19925,SAPIG0269,1,0,1.1.1.137,R01524
RHEA:43168,SAPIG0633,1,0,3.5.4.33,R10223
RHEA:16521,SAPIG0251,1,0,1.18.1.3,R05875
RHEA:76991,SAPIG0251,1,0,1.18.1.3,R
RHEA:76999,SAPIG0251,1,0,1.18.1.3,R
RHEA:45560,SAPIG2652,1,0,5.1.1.21,R11078
RHEA:13713,SAPIG1144,1,0,1.3.5.1,R02164
RHEA:13713,SAPIG1145,1,0,1.3.5.1,R02164
RHEA:75711,SAPIG1144,1,0,1.3.5.1,R
RHEA:75711,SAPIG1145,1,0,1.3.5.1,R
RHEA:30599,SAPIG2612,1,0,1.3.99.28,R09691
RHEA:76407,SAPIG1761,1,0,3.4.13.9,R
RHEA:76407,SAPIG1595,1,0,3.4.13.9,R
RHEA:76407,SAPIG0824,1,0,3.4.13.9,R
RHEA:15585,SAPIG2612,1,0,1.3.99.31,R09716
RHEA:16013,SAPIG1630,1,0,6.1.1.14,R03654
RHEA:24420,SAPIG1088,1,0,3.5.1.88,R05635
RHEA:24420,SAPIG1214,1,0,3.5.1.88,R05635
RHEA:34451,SAPIG0142,1,0,5.1.3.25,R10279
RHEA:34451,SAPIG0141,1,0,5.1.3.25,R10279
RHEA:42908,SAPIG1990,1,0,2.1.1.190,R
RHEA:16429,SAPIG1180,1,0,6.3.2.9,R02783
RHEA:15017,SAPIG0942,1,0,3.1.3.1,R00626
RHEA:15017,SAPIG2676,1,0,3.1.3.1,R00626
RHEA:15017,SAPIG2563,1,0,3.1.3.1,R00626
RHEA:66592,SAPIG1743,1,0,4.2.99.18,R
RHEA:66592,SAPIG1452,1,0,4.2.99.18,R
RHEA:42924,SAPIG0555,1,0,2.1.1.198 2.1.1.207,R
RHEA:42924,SAPIG1921,1,0,2.1.1.198 2.1.1.207,R
RHEA:30619,SAPIG2612,1,0,1.3.99.26,R09659
RHEA:10456,SAPIG0838,1,0,2.3.1.79,R01556
RHEA:10456,SAPIG0170,1,0,2.3.1.79,R01556
RHEA:42548,SAPIG1003,1,0,5.4.99.29 5.4.99.25 5.4.99.23 5.4.99.22 5.4.99.19 5.4.99.12,R
RHEA:42548,SAPIG1273,1,0,5.4.99.29 5.4.99.25 5.4.99.23 5.4.99.22 5.4.99.19 5.4.99.12,R
RHEA:42548,SAPIG1916,1,0,5.4.99.29 5.4.99.25 5.4.99.23 5.4.99.22 5.4.99.19 5.4.99.12,R
RHEA:42548,SAPIG1194,1,0,5.4.99.29 5.4.99.25 5.4.99.23 5.4.99.22 5.4.99.19 5.4.99.12,R
RHEA:42548,SAPIG1559,1,0,5.4.99.29 5.4.99.25 5.4.99.23 5.4.99.22 5.4.99.19 5.4.99.12,R
RHEA:42548,SAPIG1806,1,0,5.4.99.29 5.4.99.25 5.4.99.23 5.4.99.22 5.4.99.19 5.4.99.12,R
RHEA:42548,SAPIG2272,1,0,5.4.99.29 5.4.99.25 5.4.99.23 5.4.99.22 5.4.99.19 5.4.99.12,R

RHEA:18977,SAPIG1303,1,0,1.1.5.3,R00849
RHEA:28751,SAPIG1303,1,0,1.1.5.3,R
RHEA:28755,SAPIG1303,1,0,1.1.5.3,R08657
RHEA:14369,SAPIG0630,1,0,3.1.3.18,R01334
RHEA:14369,SAPIG0647,1,0,3.1.3.18,R01334
RHEA:25576,SAPIG1897,1,0,1.3.3.4,R03222
RHEA:16085,SAPIG2123,1,0,6.3.2.10,R04573
RHEA:51476,SAPIG2664,1,0,1.1.98.6,R11592
RHEA:50240,SAPIG1880,1,0,4.2.2.1,R06242
RHEA:50240,SAPIG2262,1,0,4.2.2.1,R06242
RHEA:12128,SAPIG0537,1,0,1.4.7.1,R00021
RHEA:12128,SAPIG2510,1,0,1.4.7.1,R00021
RHEA:20629,SAPIG1218,1,0,3.1.3.16,R00164
RHEA:47004,SAPIG1218,1,0,3.1.3.16,R00164
RHEA:31331,SAPIG2326,1,0,2.7.7.75,R
RHEA:16833,SAPIG1307,1,0,1.11.1.9,R00274
RHEA:16833,SAPIG2669,1,0,1.11.1.9,R00274
RHEA:42752,SAPIG0027,1,0,2.1.1.177,R
RHEA:33059,SAPIG1093,1,0,1.8.1.4,R01698
RHEA:33059,SAPIG1584,1,0,1.8.1.4,R01698
RHEA:16557,SAPIG0096,1,0,4.1.1.45,R04323
RHEA:20249,SAPIG2111,1,0,5.1.1.1,R00401
RHEA:20249,SAPIG1400,1,0,5.1.1.1,R00401
RHEA:37555,SAPIG2265,1,0,3.1.3.92,R10547
RHEA:33151,SAPIG1092,1,0,2.3.1.12,R
RHEA:33151,SAPIG1581,1,0,2.3.1.12,R
RHEA:21592,SAPIG2352,1,0,1.5.1.28,R03732
RHEA:24164,SAPIG1425,1,0,1.8.4.12,R07607
RHEA:24164,SAPIG1424,1,0,1.8.4.12,R07607
RHEA:18965,SAPIG1724,1,0,4.2.1.75,R03165
RHEA:21920,SAPIG1179,1,0,2.7.8.13,R05629
RHEA:28386,SAPIG1179,1,0,2.7.8.13,R05630
RHEA:20277,SAPIG2745,1,0,2.3.1.118,R08386
RHEA:20277,SAPIG0100,1,0,2.3.1.118,R08386
RHEA:20277,SAPIG0099,1,0,2.3.1.118,R08386
RHEA:32287,SAPIG2098,1,0,4.2.1.33,R10170
RHEA:32287,SAPIG2099,1,0,4.2.1.33,R10170
RHEA:43144,SAPIG1625,1,0,2.1.1.217,R
RHEA:43380,SAPIG2157,1,0,3.9.1.2,R
RHEA:30099,SAPIG1039,1,0,2.5.1.74,R05617
RHEA:44800,SAPIG1039,1,0,2.5.1.74,R
RHEA:44804,SAPIG1039,1,0,2.5.1.74,R
RHEA:44808,SAPIG1039,1,0,2.5.1.74,R
RHEA:44812,SAPIG1039,1,0,2.5.1.74,R
RHEA:44816,SAPIG1039,1,0,2.5.1.74,R
RHEA:44820,SAPIG1039,1,0,2.5.1.74,R
RHEA:11632,SAPIG0899,1,0,4.4.1.16,R03599
RHEA:32155,SAPIG1703,1,0,2.4.99.17,R
RHEA:13425,SAPIG0758,1,0,3.2.2.10,R02171
RHEA:30075,SAPIG0758,1,0,3.2.2.10,R00510
RHEA:54448,SAPIG0568,1,0,3.1.1.29,R04238
RHEA:18369,SAPIG1303,1,0,1.1.3.21,R00846
RHEA:13429,SAPIG0263,1,0,2.7.7.60,R05633
RHEA:13429,SAPIG0268,1,0,2.7.7.60,R05633
RHEA:20641,SAPIG2729,1,0,1.1.1.23,R01158
RHEA:13501,SAPIG1592,1,0,6.3.4.14,R04385
RHEA:13501,SAPIG1670,1,0,6.3.4.14,R04385
RHEA:12969,SAPIG0942,1,0,3.1.4.46,R00857
RHEA:12969,SAPIG1117,1,0,3.1.4.46,R00857
RHEA:12969,SAPIG0238,1,0,3.1.4.46,R00857
RHEA:12969,SAPIG0040,1,0,3.1.4.46,R00857
RHEA:12969,SAPIG1773,1,0,3.1.4.46,R00857
RHEA:29875,SAPIG0942,1,0,3.1.4.46,R
RHEA:29875,SAPIG1117,1,0,3.1.4.46,R
RHEA:29875,SAPIG0238,1,0,3.1.4.46,R
RHEA:29875,SAPIG0040,1,0,3.1.4.46,R
RHEA:29875,SAPIG1773,1,0,3.1.4.46,R
RHEA:29907,SAPIG0942,1,0,3.1.4.46,R
RHEA:29907,SAPIG1117,1,0,3.1.4.46,R
RHEA:29907,SAPIG0238,1,0,3.1.4.46,R
RHEA:29907,SAPIG0040,1,0,3.1.4.46,R
RHEA:29907,SAPIG1773,1,0,3.1.4.46,R
RHEA:36407,SAPIG2158,1,0,2.7.7.87,R10463
RHEA:49548,SAPIG0626,1,0,3.5.1.124,R11562
RHEA:49548,SAPIG1968,1,0,3.5.1.124,R11562
RHEA:49552,SAPIG0626,1,0,3.5.1.124,R11563
RHEA:49552,SAPIG1968,1,0,3.5.1.124,R11563
RHEA:49556,SAPIG0626,1,0,3.5.1.124,R11564
RHEA:49556,SAPIG1968,1,0,3.5.1.124,R11564
RHEA:57188,SAPIG0626,1,0,3.5.1.124,R
RHEA:57188,SAPIG1968,1,0,3.5.1.124,R
RHEA:57192,SAPIG0626,1,0,3.5.1.124,R
RHEA:57192,SAPIG1968,1,0,3.5.1.124,R
RHEA:57196,SAPIG0626,1,0,3.5.1.124,R
RHEA:57196,SAPIG1968,1,0,3.5.1.124,R
RHEA:13729,SAPIG0728,1,0,4.6.1.15,R07636
RHEA:23688,SAPIG0481,1,0,3.5.4.2,R01244
RHEA:30615,SAPIG2612,1,0,1.3.99.29,R09693
RHEA:42896,SAPIG2159,1,0,2.1.1.297,R
RHEA:37075,SAPIG1642,1,0,2.8.4.5,R10645
RHEA:13481,SAPIG0556,1,0,6.1.1.10,R03659
RHEA:37059,SAPIG2088,1,0,2.3.1.234,R
RHEA:37059,SAPIG2090,1,0,2.3.1.234,R
RHEA:20401,SAPIG2020,1,0,3.5.2.6,R03743
RHEA:16237,SAPIG1907,1,0,5.2.1.8,R04273
RHEA:16237,SAPIG0937,1,0,5.2.1.8,R04273
RHEA:21624,SAPIG0420,1,0,1.5.1.38 1.19.1.1,R05706
RHEA:21624,SAPIG0460,1,0,1.5.1.38 1.19.1.1,R05706
RHEA:21624,SAPIG2426,1,0,1.5.1.38 1.19.1.1,R05706
RHEA:42928,SAPIG1176,1,0,2.1.1.199,R
RHEA:55040,SAPIG0980,1,0,2.3.1.179,R
RHEA:22448,SAPIG0324,1,0,2.7.1.83,R03315
RHEA:31547,SAPIG2613,1,0,2.5.1.96,R07652
RHEA:31391,SAPIG2612,1,0,1.3.8.2,R09690
RHEA:42800,SAPIG2612,1,0,1.3.8.2,R07653
RHEA:24923,SAPIG0526,1,0,4.4.1.1,R
RHEA:12484,SAPIG0907,1,0,3.1.3.5,R07297
RHEA:12484,SAPIG0159,1,0,3.1.3.5,R07297
RHEA:12484,SAPIG0025,1,0,3.1.3.5,R07297
RHEA:28094,SAPIG0761,1,0,3.6.1.27,R05627
RHEA:28094,SAPIG1418,1,0,3.6.1.27,R05627
RHEA:24456,SAPIG0453,1,0,3.1.3.73,R04594
