bigg_id,RHEA_ID,kcat
PGI,16252,129.94468556604
PGI,11819,129.94468556604
PFK,16109,278.0
FBP,11064,157.859884613081
FBA,14729,103.561878025645
GAPD,10303,35.7649614246495
PGK,14804,16.0100104283114
PGM,15904,189.368885346935
ENO,10167,58.1848761721395
PYK,18160,117.269621287688
