Protein,Stoichiometry,Isozyme,KEGG_ID
SAPIG1290,2,0,R03537
SAPIG2099,1,1,R03968
SAPIG2098,1,1,R03968
SAPIG1427,1,0,R00937
SAPIG1785,1,0,R01354
SAPIG1229,1,0,R01626
SAPIG0181,1,0,R02549
SAPIG2164,1,0,R02549
SAPIG1397,1,0,R04199
SAPIG0808,2,1,R02017
SAPIG0809,2,1,R02017
SAPIG2059,1,0,R02052
SAPIG0025,2,0,R00183
SAPIG0159,1,0,R00183
SAPIG1104,1,0,R00183
SAPIG1006,4,0,R04956
SAPIG2097,2,0,R00994
SAPIG0243,4,0,R07934
SAPIG1602,4,0,R04125
SAPIG2729,1,0,R01163
SAPIG0789,2,0,R09978
SAPIG1802,1,0,R02750
SAPIG0283,1,0,R02750
SAPIG1147,2,0,R02720
SAPIG0162,1,0,R00754
SAPIG0686,1,0,R00754
SAPIG2374,1,0,R04111
SAPIG2664,2,0,R11633
SAPIG0855,2,0,R00658
SAPIG2322,2,0,R09395
SAPIG0604,1,0,R00586
SAPIG0243,4,0,R07888
SAPIG2141,1,0,R04965
SAPIG2095,1,0,R05069
SAPIG1230,4,0,R10120
SAPIG0260,4,0,R01896
SAPIG0858,2,0,R08249
SAPIG1675,1,0,R00513
SAPIG0525,1,0,R10305
SAPIG0778,2,0,R02059
SAPIG2071,1,0,R00485
SAPIG0162,20,0,R08558
SAPIG0686,1,0,R08558
SAPIG0150,6,0,R02557
SAPIG1184,2,0,R02557
SAPIG2180,6,0,R02557
SAPIG1207,1,0,R02090
SAPIG2556,1,0,R01737
SAPIG1822,1,0,R03459
SAPIG2267,1,0,R02948
SAPIG2649,1,0,R02948
SAPIG2568,1,0,R00762
SAPIG2382,1,0,R02288
SAPIG1819,60,0,R04457
SAPIG1104,1,0,R01185
SAPIG1245,2,1,R00405
SAPIG1246,2,1,R00405
SAPIG1764,2,0,R01353
SAPIG0133,1,0,R12311
SAPIG0133,2,0,R12311
SAPIG0200,1,0,R00667
SAPIG0940,1,0,R00667
SAPIG2659,1,0,R02566
SAPIG2660,2,0,R02566
SAPIG0181,1,0,R05238
SAPIG2164,1,0,R05238
SAPIG0153,1,0,R01057
SAPIG1302,4,0,R00847
SAPIG1302,2,0,R00847
SAPIG1583,2,1,R07601
SAPIG1582,2,1,R07601
SAPIG2077,1,0,R03920
SAPIG2178,2,0,R02484
SAPIG1209,1,0,R03269
SAPIG2155,2,0,R00945
SAPIG1467,4,0,R00331
SAPIG1427,1,0,R02236
SAPIG0242,1,0,R06941
SAPIG0181,1,0,R00904
SAPIG2164,1,0,R00904
SAPIG1344,2,0,R01641
SAPIG1062,1,0,R07405
SAPIG2167,1,0,R02568
SAPIG2654,1,0,R02568
SAPIG2078,1,0,R03921
SAPIG1002,1,0,R00104
SAPIG2178,2,0,R02296
SAPIG2137,4,0,R02133
SAPIG2178,2,0,R01570
SAPIG1468,1,0,R09247
SAPIG2467,1,0,R01518
SAPIG0854,1,0,R01518
SAPIG2605,1,0,R00708
SAPIG2574,1,0,R00816
SAPIG0858,2,0,R08255
SAPIG0526,1,0,R02408
SAPIG0438,4,0,R02408
SAPIG0686,1,0,R00623
SAPIG0162,20,0,R00623
SAPIG0181,1,0,R00264
SAPIG2164,1,0,R00264
SAPIG2238,2,0,R00672
SAPIG1260,6,0,R00158
SAPIG0242,1,0,R07898
SAPIG1274,1,0,R00549
SAPIG0252,4,0,R01000
SAPIG2650,4,0,R01000
SAPIG2141,1,0,R04568
SAPIG1092,24,0,R02569
SAPIG2453,2,0,R00789
SAPIG0576,1,0,R08238
SAPIG0858,2,0,R08258
SAPIG1083,1,0,R11325
SAPIG1084,1,0,R11325
SAPIG2095,1,0,R04439
SAPIG0790,2,0,R03508
SAPIG1371,1,0,R03508
SAPIG1456,1,0,R01074
SAPIG2339,1,1,R00131
SAPIG2340,1,1,R00131
SAPIG2338,1,1,R00131
SAPIG1305,1,0,R01122
SAPIG2249,1,0,R03256
SAPIG1467,4,0,R03530
SAPIG1723,8,0,R00036
SAPIG1263,1,0,R01799
SAPIG1395,2,0,R02291
SAPIG2659,1,0,R01025
SAPIG2282,1,0,R01547
SAPIG2547,1,0,R08639
SAPIG1476,1,0,R00512
SAPIG1467,4,0,R12853
SAPIG0243,4,0,R07896
SAPIG0242,1,0,R04737
SAPIG1842,1,0,R04031
SAPIG0858,2,0,R08295
SAPIG1001,4,0,R00429
SAPIG1697,1,0,R00429
SAPIG2559,4,0,R00429
SAPIG1583,2,1,R07603
SAPIG1582,2,1,R07603
SAPIG1093,2,0,R07618
SAPIG1584,2,0,R07618
SAPIG0980,1,0,R04355
SAPIG0579,2,0,R00897
SAPIG0913,2,0,R00717
SAPIG1955,2,0,R00717
SAPIG0025,2,0,R01664
SAPIG0159,1,0,R01664
SAPIG1104,1,0,R01664
SAPIG1013,1,0,R02689
SAPIG0242,1,0,R01975
SAPIG2249,1,0,R03255
SAPIG2268,1,1,R00014
SAPIG2093,1,1,R00014
SAPIG1776,1,0,R01513
SAPIG0242,1,0,R04748
SAPIG0518,1,0,R11945
SAPIG0162,20,0,R02124
SAPIG0686,1,0,R02124
SAPIG2692,1,0,R01819
SAPIG1006,4,0,R04962
SAPIG1573,1,0,R01791
SAPIG2576,1,0,R00704
SAPIG2610,1,0,R00704
SAPIG1581,24,0,R03174
SAPIG0241,1,0,R07953
SAPIG1612,1,0,R01600
SAPIG0283,2,0,R01051
SAPIG1802,1,0,R01051
SAPIG2453,2,0,R00787
SAPIG0438,4,0,R01286
SAPIG0980,1,0,R04963
SAPIG0540,1,0,R02780
SAPIG0576,1,0,R01229
SAPIG0465,2,0,R01229
SAPIG1230,4,0,R04964
SAPIG0277,1,0,R00294
SAPIG1396,2,0,R10147
SAPIG1581,24,0,R02662
SAPIG0243,4,0,R03990
SAPIG0159,1,0,R05135
SAPIG1290,2,0,R05135
SAPIG1752,4,0,R03239
SAPIG0129,1,0,R12312
SAPIG0129,2,0,R12312
SAPIG1043,1,0,R07263
SAPIG0252,4,0,R03104
SAPIG2650,4,0,R03104
SAPIG1751,1,0,R00200
SAPIG1742,1,0,R00130
SAPIG0113,1,0,R03364
SAPIG1571,1,0,R02736
SAPIG1785,1,0,R00316
SAPIG1675,1,0,R00968
SAPIG0128,2,0,R11655
SAPIG0408,1,0,R07770
SAPIG1025,1,0,R07770
SAPIG0025,2,0,R02088
SAPIG0159,1,0,R02088
SAPIG1104,1,0,R02088
SAPIG2477,2,0,R10124
SAPIG1339,1,0,R01134
SAPIG0159,1,0,R03538
SAPIG1290,2,0,R03538
SAPIG1467,4,0,R01857
SAPIG1467,4,0,R02326
SAPIG1330,1,0,R01773
SAPIG1717,1,0,R02237
SAPIG1041,2,0,R08165
SAPIG1467,4,0,R00330
SAPIG0801,2,0,R03243
SAPIG2728,2,0,R03243
SAPIG0241,1,0,R07937
SAPIG1757,4,0,R00508
SAPIG0852,1,0,R01512
SAPIG1071,1,0,R04560
SAPIG0181,1,0,R05050
SAPIG2164,1,0,R05050
SAPIG1803,2,0,R05053
SAPIG1066,1,1,R04463
SAPIG1067,1,1,R04463
SAPIG2167,1,0,R01070
SAPIG2654,1,0,R01070
SAPIG2659,1,0,R02565
SAPIG2660,2,0,R02565
SAPIG1467,4,0,R00722
SAPIG0945,1,0,R03321
SAPIG0629,1,0,R02199
SAPIG0241,1,0,R07895
SAPIG0241,1,0,R07899
SAPIG0980,1,0,R04960
SAPIG1839,1,0,R00341
SAPIG1467,4,0,R01137
SAPIG0728,2,0,R01012
SAPIG0729,2,0,R01012
SAPIG1573,1,0,R01718
SAPIG0468,2,0,R08244
SAPIG1820,1,0,R07281
SAPIG2549,1,0,R00289
SAPIG1147,2,0,R00720
SAPIG2141,1,0,R04954
SAPIG2574,1,0,R05295
SAPIG1336,2,0,R02670
SAPIG0408,1,0,R12433
SAPIG1025,1,0,R12433
SAPIG1803,2,0,R02851
SAPIG0663,1,0,R12425
SAPIG0241,1,0,R03858
SAPIG1581,24,0,R03858
SAPIG1472,1,0,R00844
SAPIG1230,4,0,R04566
SAPIG0243,4,0,R04751
SAPIG1785,1,0,R00236
SAPIG0548,1,0,R02094
SAPIG1093,2,0,R08550
SAPIG1584,2,0,R08550
SAPIG2327,2,0,R07459
SAPIG2451,1,0,R03194
SAPIG1368,2,1,R00986
SAPIG1369,2,1,R00986
SAPIG0790,2,0,R00986
SAPIG1292,1,1,R01196
SAPIG1291,1,1,R01196
SAPIG0787,2,0,R10002
SAPIG1344,2,0,R01830
SAPIG2480,2,0,R03182
SAPIG2059,1,0,R03332
SAPIG0113,1,0,R03332
SAPIG1104,1,0,R01186
SAPIG0980,1,0,R04952
SAPIG1565,1,0,R01054
SAPIG1329,1,0,R00480
SAPIG1394,1,0,R00480
SAPIG0191,2,0,R00519
SAPIG2360,1,0,R00519
SAPIG2268,1,1,R08648
SAPIG2093,1,1,R08648
SAPIG2268,1,0,R08648
SAPIG0328,4,0,R01811
SAPIG2008,1,0,R01724
SAPIG0944,4,0,R01954
SAPIG1428,2,0,R02101
SAPIG1415,2,0,R01700
SAPIG0537,1,1,R00248
SAPIG0538,1,1,R00248
SAPIG1198,1,0,R01993
SAPIG1230,4,0,R07763
SAPIG2596,2,0,R01978
SAPIG2595,4,0,R02081
SAPIG1467,4,0,R00139
SAPIG2581,1,1,R00590
SAPIG2582,1,1,R00590
SAPIG0242,1,0,R05305
SAPIG2356,1,0,R11383
SAPIG0243,4,0,R07950
SAPIG0242,1,0,R04203
SAPIG0260,4,0,R07145
SAPIG2161,2,0,R02099
SAPIG2664,4,0,R11635
SAPIG0162,20,0,R10783
SAPIG0686,1,0,R10783
SAPIG0437,1,0,R00650
SAPIG0162,20,0,R05234
SAPIG0686,1,0,R05234
SAPIG0181,1,0,R05286
SAPIG2164,1,0,R05286
SAPIG0980,1,0,R10115
SAPIG2613,1,0,R09793
SAPIG0814,1,0,R03191
SAPIG1571,1,0,R00835
SAPIG0262,1,0,R05571
SAPIG2478,2,0,R01078
SAPIG0162,20,0,R08557
SAPIG0686,1,0,R08557
SAPIG0814,1,0,R03192
SAPIG1370,2,0,R01073
SAPIG0851,4,0,R01061
SAPIG1741,4,0,R01061
SAPIG0627,1,0,R01526
SAPIG1633,1,0,R02485
SAPIG0168,2,0,R12552
SAPIG2009,2,0,R11712
SAPIG2723,1,0,R04037
SAPIG1230,4,0,R02767
SAPIG0778,2,0,R05168
SAPIG0853,2,0,R01015
SAPIG1006,4,0,R04967
SAPIG1121,6,0,R03035
SAPIG2388,2,0,R09030
SAPIG1768,1,0,R07461
SAPIG2398,8,0,R01123
SAPIG0467,4,0,R01130
SAPIG1633,1,0,R01878
SAPIG1373,2,1,R02722
SAPIG1374,2,1,R02722
SAPIG1070,1,0,R04326
SAPIG1725,1,0,R00084
SAPIG2729,1,0,R03012
SAPIG2059,1,0,R01312
SAPIG2574,1,0,R05404
SAPIG2418,1,0,R00361
SAPIG2655,1,0,R00361
SAPIG1818,1,0,R01253
SAPIG0908,1,0,R12424
SAPIG2252,1,0,R01069
SAPIG1598,1,0,R12427
SAPIG0181,1,0,R04065
SAPIG2164,1,0,R04065
SAPIG2423,1,0,R01154
SAPIG2059,1,0,R02027
SAPIG1583,2,1,R07600
SAPIG1582,2,1,R07600
SAPIG0025,2,0,R00511
SAPIG0159,1,0,R00511
SAPIG1104,1,0,R00511
SAPIG1583,2,1,R10997
SAPIG1582,2,1,R10997
SAPIG0241,1,0,R03778
SAPIG1581,24,0,R03778
SAPIG1230,4,0,R04536
SAPIG1292,1,1,R10516
SAPIG1291,1,1,R10516
SAPIG1303,1,0,R00848
SAPIG2253,1,0,R03236
SAPIG0150,6,0,R01561
SAPIG1184,2,0,R01561
SAPIG2180,6,0,R01561
SAPIG1749,2,0,R00351
SAPIG1467,4,0,R02093
SAPIG2097,2,0,R04426
SAPIG1373,2,1,R02340
SAPIG1374,2,1,R02340
SAPIG0777,1,0,R03232
SAPIG1836,1,0,R02260
SAPIG0945,1,0,R02739
SAPIG0425,1,0,R00310
SAPIG0241,1,0,R00829
SAPIG2141,1,0,R10208
SAPIG1006,4,0,R04959
SAPIG1071,1,0,R01220
SAPIG1112,1,0,R04178
SAPIG1569,1,0,R03291
SAPIG1427,1,0,R02235
SAPIG2257,1,0,R10634
SAPIG0162,20,0,R01172
SAPIG2009,2,0,R11713
SAPIG1230,4,0,R04953
SAPIG0645,1,0,R05338
SAPIG2216,1,0,R02060
SAPIG2725,1,0,R04640
SAPIG2319,1,0,R09394
SAPIG1352,1,0,R01325
SAPIG2214,1,0,R02703
SAPIG2078,1,0,R02410
SAPIG0181,1,0,R00538
SAPIG2164,1,0,R00538
SAPIG1427,1,0,R00940
SAPIG1899,2,0,R04972
SAPIG0980,1,0,R04726
SAPIG0243,4,0,R04754
SAPIG1006,4,0,R04725
SAPIG2668,8,0,R00858
SAPIG2010,2,0,R01373
SAPIG1406,1,0,R01421
SAPIG1147,2,0,R08243
SAPIG1803,2,0,R01582
SAPIG0025,2,0,R00963
SAPIG0159,1,0,R00963
SAPIG1104,1,0,R00963
SAPIG0629,1,0,R02190
SAPIG1201,2,0,R00965
SAPIG1245,4,1,R00352
SAPIG1246,4,1,R00352
SAPIG0582,1,0,R03503
SAPIG1844,1,0,R04030
SAPIG1583,2,1,R10996
SAPIG1582,2,1,R10996
SAPIG1764,2,0,R00315
SAPIG2467,1,0,R01516
SAPIG0854,1,0,R01516
SAPIG0980,1,0,R04957
SAPIG1464,1,0,R03460
SAPIG0899,1,0,R07460
SAPIG1686,1,0,R07460
SAPIG1769,1,0,R07460
SAPIG1476,1,0,R01665
SAPIG1091,1,1,R01699
SAPIG1090,1,1,R01699
SAPIG1727,2,0,R04109
SAPIG0646,4,0,R05339
SAPIG2676,1,0,R02135
SAPIG0181,1,0,R00631
SAPIG0199,1,0,R00631
SAPIG2164,1,0,R00631
SAPIG0025,2,0,R01227
SAPIG0159,1,0,R01227
SAPIG1104,1,0,R01227
SAPIG2172,2,0,R04391
SAPIG0565,3,0,R05332
SAPIG1061,2,0,R01655
SAPIG1207,1,0,R00332
SAPIG2095,1,0,R05068
SAPIG2639,1,0,R01868
SAPIG1427,1,0,R00936
SAPIG2676,1,0,R04620
SAPIG0040,1,0,R01030
SAPIG0942,1,0,R01030
SAPIG1773,1,0,R01030
SAPIG0181,1,0,R02678
SAPIG2164,1,0,R02678
SAPIG0434,1,0,R00238
SAPIG1209,1,0,R04231
SAPIG1104,1,0,R07343
SAPIG2574,1,0,R05406
SAPIG0580,2,0,R03067
SAPIG1373,2,1,R00674
SAPIG1374,2,1,R00674
