RHEA_ID,Protein,Stoichiometry,Subunit,KEGG_ID,EC,DeltaG,RevIndex
RHEA:12423,SAPIG2253,1,0,R03236,2.7.1.11        2.7.1.56        2.7.1.144,-21.05010908198551,-4.248039218579861
RHEA:20847,SAPIG1111,1,0,R00344,6.4.1.1,-7.194902345611922,-0.9679831814321654
RHEA:22863,SAPIG1659,1,0,R03005,2.7.7.1         2.7.7.18,-24.977925763892124,-5.040696360789677
RHEA:30050,SAPIG0181,1,0,R05286,1.2.1.3,-44.05857377969551,-8.89128643475833
RHEA:30050,SAPIG2164,1,0,R05286,1.2.1.3,-44.05857377969551,-8.89128643475833
RHEA:24292,SAPIG2723,1,0,R00259,"2.3.1.1,2.3.1.35",-25.72436301804339,-5.191331909398651
RHEA:21083,SAPIG1725,1,0,R00177,2.5.1.6,-107.79681647406346,-17.403239184608896
RHEA:21083,SAPIG1838,1,0,R00177,2.5.1.6,-107.79681647406346,-17.403239184608896
RHEA:22836,SAPIG0980,1,0,R04355,2.3.1.41        2.3.1.85        2.3.1.86        2.3.1.179,,
RHEA:13068,SAPIG2145,1,0,R00086,3.6.1.5         3.6.1.8         3.6.1.15        3.6.1.-,-46.75659080866504,-12.581016767099491
RHEA:13068,SAPIG2147,1,0,R00086,3.6.1.5         3.6.1.8         3.6.1.15        3.6.1.-,-46.75659080866504,-12.581016767099491
RHEA:45844,SAPIG1230,1,0,R04536,1.1.1.100       1.1.1.-         2.3.1.85        2.3.1.86,15.6217837975164,3.1525703727975953
RHEA:18304,SAPIG0468,1,0,R01230,6.3.5.2,-318.1555587418096,-42.80380957902111
RHEA:30095,SAPIG2418,1,0,R01257,1.1.5.4,,
RHEA:30095,SAPIG2655,1,0,R01257,1.1.5.4,,
RHEA:30750,SAPIG0243,1,0,R01279,1.3.3.6         1.3.8.7         1.3.8.8         1.3.8.9,43.4465396619853,8.76777425128148
RHEA:18232,SAPIG0913,1,0,R00717,1.1.1.26        1.1.1.29,41.118441119264844,8.297949896658123
RHEA:18232,SAPIG1955,1,0,R00717,1.1.1.26        1.1.1.29,41.118441119264844,8.297949896658123
RHEA:28209,SAPIG2161,1,0,R02099,2.7.1.21        2.7.1.145,-16.515970846487562,-3.3330227228534173
RHEA:31138,SAPIG1698,1,0,R04378,2.4.2.7,41.15301043842059,8.30492619416619
RHEA:45840,SAPIG1230,1,0,R04534,1.1.1.100       1.1.1.-         2.3.1.85        2.3.1.86,15.6217837975164,3.1525703727975953
RHEA:43484,SAPIG0113,1,0,R03332,3.1.4.3         3.1.4.11        4.6.1.13,,
RHEA:43484,SAPIG2059,1,0,R03332,3.1.4.3         3.1.4.11        4.6.1.13,,
RHEA:18020,SAPIG0205,1,0,R01974,4.1.1.43        4.1.1.74,-8.58266426431598,-2.3093780181196215
RHEA:23151,SAPIG1764,1,0,R01353,2.7.2.1         2.7.2.15,33.02907306141964,6.665466538523794
RHEA:59143,SAPIG2239,1,0,R12354,6.3.2.57,,
RHEA:37042,SAPIG0179,1,0,R10468,1.14.99.48,,
RHEA:37042,SAPIG1132,1,0,R10468,1.14.99.48,,
RHEA:26413,SAPIG0209,1,0,R08555,4.2.1.126,-20.22599616667813,-5.442304336207289
RHEA:43636,SAPIG2257,1,0,R10633,2.3.1.286,,
RHEA:40530,SAPIG1083,1,0,R11325,7.1.1.7,,
RHEA:40530,SAPIG1084,1,0,R11325,7.1.1.7,,
RHEA:14804,SAPIG0852,1,0,R01512,2.7.2.3,19.549800047385702,3.9452677890282706
RHEA:12697,SAPIG1207,1,0,R12852,2.7.4.8,5.122336021816295,1.0337183634854359
