Type,Metabolite,CHEBI,Protein,Stoichiometry,Subunit
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,formate/H,CHEBI:15740/CHEBI:15378,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/Na,CHEBI:60039/CHEBI:29101,,1,
Symport,proline/H,CHEBI:60039/CHEBI:15378,,1,
Symport,proline/H,CHEBI:60039/CHEBI:15378,,1,
Symport,proline/H,CHEBI:60039/CHEBI:15378,,1,
Symport,proline/H,CHEBI:60039/CHEBI:15378,,1,
Symport,acetate/Na,CHEBI:30089/CHEBI:29101,,1,
Symport,acetate/Na,CHEBI:30089/CHEBI:29101,,1,
Symport,acetate/Na,CHEBI:30089/CHEBI:29101,,1,
Symport,acetate/Na,CHEBI:30089/CHEBI:29101,,1,
Symport,acetate/Na,CHEBI:30089/CHEBI:29101,,1,
Symport,acetate/Na,CHEBI:30089/CHEBI:29101,,1,
Symport,acetate/Na,CHEBI:30089/CHEBI:29101,,1,
Symport,Na/Pi,CHEBI:29101/CHEBI:43474,,1,
Symport,Na/Pi,CHEBI:29101/CHEBI:43474,,1,
Symport,alanine/Na,CHEBI:57972/CHEBI:29101,,1,
Symport,alanine/Na,CHEBI:57972/CHEBI:29101,,1,
Symport,alanine/Na,CHEBI:57972/CHEBI:29101,,1,
Symport,alanine/Na,CHEBI:57972/CHEBI:29101,,1,
Symport,alanine/Na,CHEBI:57972/CHEBI:29101,,1,
Symport,alanine/Na,CHEBI:57972/CHEBI:29101,,1,
Symport,alanine/Na,CHEBI:57972/CHEBI:29101,,1,
Symport,alanine/Na,CHEBI:57972/CHEBI:29101,,1,
Symport,alanine/H,CHEBI:57972/CHEBI:15378,,1,
Symport,alanine/H,CHEBI:57972/CHEBI:15378,,1,
Symport,alanine/H,CHEBI:57972/CHEBI:15378,,1,
Symport,alanine/H,CHEBI:57972/CHEBI:15378,,1,
Symport,tyrosine/H,CHEBI:58315/CHEBI:15378,,1,
Symport,tyrosine/H,CHEBI:58315/CHEBI:15378,,1,
Symport,tyrosine/H,CHEBI:58315/CHEBI:15378,,1,
Symport,tyrosine/H,CHEBI:58315/CHEBI:15378,,1,
Symport,tyrosine/H,CHEBI:58315/CHEBI:15378,,1,
Symport,tyrosine/H,CHEBI:58315/CHEBI:15378,,1,
Symport,tryptophan/H,CHEBI:57912/CHEBI:15378,,1,
Symport,tryptophan/H,CHEBI:57912/CHEBI:15378,,1,
Symport,tryptophan/H,CHEBI:57912/CHEBI:15378,,1,
Symport,tryptophan/H,CHEBI:57912/CHEBI:15378,,1,
Symport,tryptophan/H,CHEBI:57912/CHEBI:15378,,1,
Symport,tryptophan/H,CHEBI:57912/CHEBI:15378,,1,
Symport,serine/H,CHEBI:33384/CHEBI:15378,,1,
Symport,serine/H,CHEBI:33384/CHEBI:15378,,1,
Symport,serine/Na,CHEBI:33384/CHEBI:29101,,1,
Symport,histidine,CHEBI:57595/CHEBI:15378,,1,
Symport,glycine/Na,CHEBI:57305/CHEBI:29101,,1,
Symport,glycine/Na,CHEBI:57305/CHEBI:29101,,1,
Symport,glycine/Na,CHEBI:57305/CHEBI:29101,,1,
Symport,glycine/Na,CHEBI:57305/CHEBI:29101,,1,
Symport,glutamate/Na,CHEBI:29985/CHEBI:29101,,1,
Symport,gluconate/H,CHEBI:18391/CHEBI:15378,,1,
