KEGG_ID,RHEA_ID,Protein,Stoichiometry,Isozyme
R00420,RHEA:17216,SAPIG2153,1,0
R07891,RHEA:21564,SAPIG0241,1,0
R07404,RHEA:19320,SAPIG1063,2,0
R02570,RHEA:15216,SAPIG1414,24,0
R03991,RHEA:18164,SAPIG0241,1,0
R03991,RHEA:18164,SAPIG1581,24,0
R01652,RHEA:25081,SAPIG2097,2,0
R01248,RHEA:14108,SAPIG1569,1,0
R01187,RHEA:30742,SAPIG1104,1,0
R01168,RHEA:21235,SAPIG0008,1,0
R04208,RHEA:23035,SAPIG1069,1,0
R08220,RHEA:21164,SAPIG0858,2,0
R04425,RHEA:17944,SAPIG1352,1,0
R00344,RHEA:20847,SAPIG1111,4,0
R00256,RHEA:15892,SAPIG1984,1,1
R00256,RHEA:15892,SAPIG1985,1,1
R00256,RHEA:15892,SAPIG0594,1,2
R00256,RHEA:15892,SAPIG0595,1,2
R00256,RHEA:15892,SAPIG0468,2,0
R00256,RHEA:15892,SAPIG1200,1,3
R00256,RHEA:15892,SAPIG1199,1,3
R00256,RHEA:15892,SAPIG0791,1,0
R00256,RHEA:15892,SAPIG1066,1,0
R00256,RHEA:15892,SAPIG2169,4,0
R00256,RHEA:15892,SAPIG2726,1,4
R00256,RHEA:15892,SAPIG2724,1,4
R00256,RHEA:15892,SAPIG0537,1,5
R00256,RHEA:15892,SAPIG0538,1,5
R04441,RHEA:24812,SAPIG2092,2,0
R03210,RHEA:42291,SAPIG2477,2,0
R03210,RHEA:20715,SAPIG2477,2,0
R01066,RHEA:12824,SAPIG0152,1,0
R01066,RHEA:12824,SAPIG2179,1,0
R02142,RHEA:10803,SAPIG0576,1,0
R02142,RHEA:10803,SAPIG0465,2,0
R01717,RHEA:18988,SAPIG1040,1,0
R02320,RHEA:56963,SAPIG1751,1,0
R04745,RHEA:31198,SAPIG0242,1,0
R01967,RHEA:19204,SAPIG0632,2,0
R02148,RHEA:27865,SAPIG0159,1,0
R00425,RHEA:23707,SAPIG1820,1,0
R00425,RHEA:23707,SAPIG1820,1,0
R02147,RHEA:13236,SAPIG0150,6,0
R02147,RHEA:13236,SAPIG1184,2,0
R02147,RHEA:13236,SAPIG2180,6,0
R01569,RHEA:11083,SAPIG0025,2,0
R01569,RHEA:11083,SAPIG0159,1,0
R01569,RHEA:11083,SAPIG1104,1,0
R02404,RHEA:38283,SAPIG1245,2,1
R02404,RHEA:38283,SAPIG1246,2,1
R01001,RHEA:14008,SAPIG0526,1,0
R00943,RHEA:20224,SAPIG1784,1,0
R00194,RHEA:17808,SAPIG1664,1,0
R00189,RHEA:21191,SAPIG2007,2,0
R03947,RHEA:15616,SAPIG2667,2,0
R12507,RHEA:30391,SAPIG2611,1,0
R01625,RHEA:12071,SAPIG2112,1,0
R00966,RHEA:13020,SAPIG1195,8,1
R00966,RHEA:13020,SAPIG2154,1,1
R05578,RHEA:23543,SAPIG0603,1,0
R01056,RHEA:14660,SAPIG2388,2,0
R01402,RHEA:11855,SAPIG1184,2,0
R01127,RHEA:18448,SAPIG1071,1,0
R03504,RHEA:10543,SAPIG0581,8,0
R08231,RHEA:10380,SAPIG1202,2,0
R02102,RHEA:29358,SAPIG0025,2,0
R02102,RHEA:29358,SAPIG0159,1,0
R02102,RHEA:29358,SAPIG1104,1,0
R00964,RHEA:16828,SAPIG1675,1,0
R05071,RHEA:31258,SAPIG2095,1,0
R00691,RHEA:12539,SAPIG2010,2,0
R00517,RHEA:28165,SAPIG1675,1,0
R06917,RHEA:25290,SAPIG0162,20,0
R06917,RHEA:25290,SAPIG0686,1,0
R04537,RHEA:41847,SAPIG2141,1,0
R03346,RHEA:30938,SAPIG0025,2,0
R03346,RHEA:30938,SAPIG0159,1,0
R03346,RHEA:30938,SAPIG1104,1,0
R01257,RHEA:30095,SAPIG2418,1,0
R01257,RHEA:30095,SAPIG2655,1,0
R01714,RHEA:21023,SAPIG1466,4,0
R01279,RHEA:30750,SAPIG0243,4,0
R00418,RHEA:20520,SAPIG0167,1,0
R10633,RHEA:43636,SAPIG2257,1,0
R12308,RHEA:59124,SAPIG0132,1,0
R12308,RHEA:59124,SAPIG0132,2,0
R00396,RHEA:18408,SAPIG1438,1,0
R00396,RHEA:18408,SAPIG1762,1,0
R00573,RHEA:26429,SAPIG2169,4,0
R03223,RHEA:22331,SAPIG2134,1,0
R01786,RHEA:36495,SAPIG1612,1,0
R11319,RHEA:69180,SAPIG2282,1,0
R03537,RHEA:27889,SAPIG0159,1,0
R03537,RHEA:27889,SAPIG1290,2,0
R03968,RHEA:16296,SAPIG2099,1,1
R03968,RHEA:16296,SAPIG2098,1,1
R01354,RHEA:20373,SAPIG1785,1,0
R01626,RHEA:41795,SAPIG1229,1,0
R02549,RHEA:19108,SAPIG0181,1,0
R02549,RHEA:19108,SAPIG2164,1,0
R04199,RHEA:35334,SAPIG1397,1,0
R02017,RHEA:28037,SAPIG0808,2,1
R02017,RHEA:28037,SAPIG0809,2,1
R02052,RHEA:78954,SAPIG2059,1,0
R00183,RHEA:29378,SAPIG0025,2,0
R00183,RHEA:29378,SAPIG0159,1,0
R00183,RHEA:29378,SAPIG1104,1,0
R04956,RHEA:52576,SAPIG1006,4,0
R04956,RHEA:41832,SAPIG1006,4,0
R00994,RHEA:32718,SAPIG2097,2,0
R07934,RHEA:38959,SAPIG0243,4,0
R04125,RHEA:16948,SAPIG1602,4,0
R01163,RHEA:33806,SAPIG2729,1,0
R09978,RHEA:27982,SAPIG0789,2,0
R02750,RHEA:30874,SAPIG1802,1,0
R02750,RHEA:30874,SAPIG0283,1,0
R02720,RHEA:28613,SAPIG1147,2,0
R04111,RHEA:49303,SAPIG2374,1,0
R11633,RHEA:51627,SAPIG2664,2,0
R00658,RHEA:10167,SAPIG0855,2,0
R09395,RHEA:26333,SAPIG2322,2,0
R00586,RHEA:24563,SAPIG0604,1,0
R04965,RHEA:41879,SAPIG2141,1,0
R05069,RHEA:25407,SAPIG2095,1,0
R01896,RHEA:20436,SAPIG0260,4,0
R00513,RHEA:24677,SAPIG1675,1,0
R10305,RHEA:32746,SAPIG0525,1,0
R02059,RHEA:22939,SAPIG0778,2,0
R00485,RHEA:21019,SAPIG2071,1,0
R08558,RHEA:33051,SAPIG0162,20,0
R08558,RHEA:33051,SAPIG0686,1,0
R02557,RHEA:27745,SAPIG0150,6,0
R02557,RHEA:27745,SAPIG1184,2,0
R02557,RHEA:27745,SAPIG2180,6,0
R01737,RHEA:19436,SAPIG2556,1,0
R03459,RHEA:21871,SAPIG1822,1,0
R03459,RHEA:21871,SAPIG1822,1,0
R02948,RHEA:21583,SAPIG2267,1,0
R02948,RHEA:21583,SAPIG2649,1,0
R02288,RHEA:23663,SAPIG2382,1,0
R04457,RHEA:26155,SAPIG1819,60,0
R01185,RHEA:27673,SAPIG1104,1,0
R00405,RHEA:17664,SAPIG1245,2,1
R00405,RHEA:17664,SAPIG1246,2,1
R01353,RHEA:23151,SAPIG1764,2,0
R12311,RHEA:59128,SAPIG0133,1,0
R12311,RHEA:59128,SAPIG0133,2,0
R00667,RHEA:25163,SAPIG0200,1,0
R00667,RHEA:25163,SAPIG0940,1,0
R02566,RHEA:30070,SAPIG2659,1,0
R02566,RHEA:30070,SAPIG2660,2,0
R05238,RHEA:25294,SAPIG0181,1,0
R05238,RHEA:25294,SAPIG2164,1,0
R01057,RHEA:18796,SAPIG0153,1,0
R00847,RHEA:21647,SAPIG1302,4,0
R00847,RHEA:21647,SAPIG1302,2,0
R02484,RHEA:22827,SAPIG2178,2,0
R03269,RHEA:16796,SAPIG1209,1,0
R00945,RHEA:15484,SAPIG2155,2,0
R00331,RHEA:18116,SAPIG1467,4,0
R06941,RHEA:34854,SAPIG0242,1,0
R00904,RHEA:30698,SAPIG0181,1,0
R00904,RHEA:30698,SAPIG2164,1,0
R07405,RHEA:13196,SAPIG1062,1,0
R02568,RHEA:30854,SAPIG2167,1,0
R02568,RHEA:30854,SAPIG2654,1,0
R00104,RHEA:18632,SAPIG1002,1,0
R02296,RHEA:52540,SAPIG2178,2,0
R02133,RHEA:17512,SAPIG2137,4,0
R01570,RHEA:16040,SAPIG2178,2,0
R09247,RHEA:27797,SAPIG1468,1,0
R01518,RHEA:15904,SAPIG2467,1,0
R01518,RHEA:15904,SAPIG0854,1,0
R00708,RHEA:24885,SAPIG2605,1,0
R00816,RHEA:17340,SAPIG2574,1,0
R02408,RHEA:24930,SAPIG0526,1,0
R02408,RHEA:24930,SAPIG0438,4,0
R00264,RHEA:11299,SAPIG0181,1,0
R00264,RHEA:11299,SAPIG2164,1,0
R00672,RHEA:11587,SAPIG2238,2,0
R00158,RHEA:24403,SAPIG1260,6,0
R00549,RHEA:14360,SAPIG1274,1,0
R01000,RHEA:36374,SAPIG0252,4,0
R01000,RHEA:36374,SAPIG2650,4,0
R04568,RHEA:41895,SAPIG2141,1,0
R02569,RHEA:17020,SAPIG1092,24,0
R00789,RHEA:24635,SAPIG2453,2,0
R11325,RHEA:40530,SAPIG1083,1,0
R11325,RHEA:40530,SAPIG1084,1,0
R04439,RHEA:22071,SAPIG2095,1,0
R03508,RHEA:23479,SAPIG0790,2,0
R03508,RHEA:23479,SAPIG1371,1,0
R01074,RHEA:31118,SAPIG1456,1,0
R00131,RHEA:20560,SAPIG2339,1,1
R00131,RHEA:20560,SAPIG2340,1,1
R00131,RHEA:20560,SAPIG2338,1,1
R01122,RHEA:26485,SAPIG1305,1,0
R03256,RHEA:42407,SAPIG2249,1,0
R03530,RHEA:30942,SAPIG1467,4,0
R00036,RHEA:24067,SAPIG1723,8,0
R01799,RHEA:16232,SAPIG1263,1,0
R02291,RHEA:24287,SAPIG1395,2,0
R01025,RHEA:17436,SAPIG2659,1,0
R01547,RHEA:23103,SAPIG2282,1,0
R08639,RHEA:23536,SAPIG2547,1,0
R00512,RHEA:11603,SAPIG1476,1,0
R04737,RHEA:31162,SAPIG0242,1,0
R04031,RHEA:10199,SAPIG1842,1,0
R00429,RHEA:22091,SAPIG1001,4,0
R00429,RHEA:22091,SAPIG1697,1,0
R00429,RHEA:22091,SAPIG2559,4,0
R04355,RHEA:22836,SAPIG0980,1,0
R00897,RHEA:14832,SAPIG0579,2,0
R00717,RHEA:18232,SAPIG0913,2,0
R00717,RHEA:18232,SAPIG1955,2,0
R01664,RHEA:29366,SAPIG0025,2,0
R01664,RHEA:29366,SAPIG0159,1,0
R01664,RHEA:29366,SAPIG1104,1,0
R02689,RHEA:17288,SAPIG1013,1,0
R01975,RHEA:30802,SAPIG0242,1,0
R03255,RHEA:24571,SAPIG2249,1,0
R01513,RHEA:12644,SAPIG1776,1,0
R04748,RHEA:31146,SAPIG0242,1,0
R11945,RHEA:29094,SAPIG0518,1,0
R02124,RHEA:21287,SAPIG0162,20,0
R02124,RHEA:21287,SAPIG0686,1,0
R04962,RHEA:44960,SAPIG1006,4,0
R04962,RHEA:41864,SAPIG1006,4,0
R00704,RHEA:16372,SAPIG2576,1,0
R00704,RHEA:16372,SAPIG2610,1,0
R07953,RHEA:39147,SAPIG0241,1,0
R01051,RHEA:13700,SAPIG0283,2,0
R01051,RHEA:13700,SAPIG1802,1,0
R00787,RHEA:24631,SAPIG2453,2,0
R01286,RHEA:13968,SAPIG0438,4,0
R04963,RHEA:41871,SAPIG0980,1,0
R02780,RHEA:33374,SAPIG0540,1,0
R01229,RHEA:25427,SAPIG0576,1,0
R01229,RHEA:25427,SAPIG0465,2,0
R04964,RHEA:45848,SAPIG1230,4,0
R04964,RHEA:41872,SAPIG1230,4,0
R00294,RHEA:30214,SAPIG0277,1,0
R00294,RHEA:10991,SAPIG0277,1,0
R10147,RHEA:34174,SAPIG1396,2,0
R02662,RHEA:18868,SAPIG1581,24,0
R03990,RHEA:28361,SAPIG0243,4,0
R05135,RHEA:27861,SAPIG0159,1,0
R05135,RHEA:27861,SAPIG1290,2,0
R12312,RHEA:59132,SAPIG0129,1,0
R12312,RHEA:59132,SAPIG0129,2,0
R07263,RHEA:26565,SAPIG1043,1,0
R00200,RHEA:18160,SAPIG1751,1,0
R00130,RHEA:18248,SAPIG1742,1,0
R03364,RHEA:17096,SAPIG0113,1,0
R02736,RHEA:15841,SAPIG1571,1,0
R00968,RHEA:27653,SAPIG1675,1,0
R11655,RHEA:51931,SAPIG0128,2,0
R07770,RHEA:12916,SAPIG0408,1,0
R07770,RHEA:12916,SAPIG1025,1,0
R02088,RHEA:29374,SAPIG0025,2,0
R02088,RHEA:29374,SAPIG0159,1,0
R02088,RHEA:29374,SAPIG1104,1,0
R01134,RHEA:17188,SAPIG1339,1,0
R03538,RHEA:27881,SAPIG0159,1,0
R03538,RHEA:27881,SAPIG1290,2,0
R01857,RHEA:27693,SAPIG1467,4,0
R02326,RHEA:27681,SAPIG1467,4,0
R01773,RHEA:15760,SAPIG1330,1,0
R02237,RHEA:23587,SAPIG1717,1,0
R08165,RHEA:25596,SAPIG1041,2,0
R00330,RHEA:27689,SAPIG1467,4,0
R03243,RHEA:23747,SAPIG0801,2,0
R03243,RHEA:23747,SAPIG2728,2,0
R07937,RHEA:39131,SAPIG0241,1,0
R00508,RHEA:77642,SAPIG1757,4,0
R01512,RHEA:14804,SAPIG0852,1,0
R04560,RHEA:22195,SAPIG1071,1,0
R05050,RHEA:31234,SAPIG0181,1,0
R05050,RHEA:31234,SAPIG2164,1,0
R04463,RHEA:17132,SAPIG1066,1,1
R04463,RHEA:17132,SAPIG1067,1,1
R01070,RHEA:14729,SAPIG2167,1,0
R01070,RHEA:14729,SAPIG2654,1,0
R02565,RHEA:15308,SAPIG2659,1,0
R02565,RHEA:15308,SAPIG2660,2,0
R00722,RHEA:30350,SAPIG1467,4,0
R02199,RHEA:24804,SAPIG0629,1,0
R04960,RHEA:41855,SAPIG0980,1,0
R00341,RHEA:18620,SAPIG1839,1,0
R01137,RHEA:27677,SAPIG1467,4,0
R01012,RHEA:18384,SAPIG0728,2,0
R01012,RHEA:18384,SAPIG0729,2,0
R01718,RHEA:68867,SAPIG1573,1,0
R07281,RHEA:18460,SAPIG1820,1,0
R00289,RHEA:19892,SAPIG2549,1,0
R00720,RHEA:29402,SAPIG1147,2,0
R04954,RHEA:41811,SAPIG2141,1,0
R04954,RHEA:41831,SAPIG2141,1,0
